id;product_name;description;currency_code;category_id
12;13-inch iPad Pro M4;iPad Pro baru yang luar biasa tipis memiliki performa begitu hebat dengan chip Apple M4, terobosan layar Ultra Retina XDR, serta Wi-Fi 6Edan 5G super cepat. Bersama Apple Pencil Pro dan Magic Keyboard, iPad Pro menghadirkan fleksibilitas, kreativitas, dan produktivitas tanpa batas ke ujung jari Anda.;IDR;3
13;11-inch iPad Pro M4;iPad Pro baru yang luar biasa tipis memiliki performa begitu hebat dengan chip Apple M4, terobosan layar Ultra Retina XDR, serta Wi-Fi 6Edan 5G super cepat. Bersama Apple Pencil Pro dan Magic Keyboard, iPad Pro menghadirkan fleksibilitas, kreativitas, dan produktivitas tanpa batas ke ujung jari Anda.;IDR;3
14;2022 11-inch iPad Pro;iPad Pro. Dengan performa yang menakjubkan, konektivitas nirkabel super cepat, dan pengalaman Apple Pencil generasi berikutnya. Ditambah, fitur produktivitas dan kolaborasi baru yang andal di iPadOS 16. iPad Pro adalah pengalaman iPad terbaik.;IDR;3
15;2022 12.9-inch iPad Pro;iPad Pro. Dengan performa yang menakjubkan, konektivitas nirkabel super cepat, dan pengalaman Apple Pencil generasi berikutnya. Ditambah, fitur produktivitas dan kolaborasi baru yang andal di iPadOS 16. iPad Pro adalah pengalaman iPad terbaik.;IDR;3
16;12.9-inch iPad Pro M1;iPad Pro dilengkapi dengan chip Apple M1 yang bertenaga untuk performa tingkat selanjutnya dan kekuatan baterai sepanjang hari. Layar Liquid Retina di iPad Pro 11 inci tidak hanya indah, tetapi juga sangat portabel. Model Cellular memungkinkan Anda tetap terhubung saat tidak ada Wi-Fi. Dan kamera depan dengan Center Stage memudahkan Anda melakukan panggilan video. iPad Pro memiliki kamera pro dan LiDAR Scanner untuk foto dan video memukau, serta AR yang menghanyutkan. Thunderbolt untuk terhubung dengan aksesori berperforma tinggi. Dan Anda bisa menambahkan Apple Pencil untuk menulis catatan, menggambar, serta menandai dokumen, dan Magic Keyboard untuk pengalaman mengetik yang responsif dan trackpad.;IDR;3
17;11-inch iPad Pro M1;iPad Pro dilengkapi dengan chip Apple M1 yang bertenaga untuk performa tingkat selanjutnya dan kekuatan baterai sepanjang hari. Layar Liquid Retina di iPad Pro 11 inci tidak hanya indah, tetapi juga sangat portabel. Model Cellular memungkinkan Anda tetap terhubung saat tidak ada Wi-Fi. Dan kamera depan dengan Center Stage memudahkan Anda melakukan panggilan video. iPad Pro memiliki kamera pro dan LiDAR Scanner untuk foto dan video memukau, serta AR yang menghanyutkan. Thunderbolt untuk terhubung dengan aksesori berperforma tinggi. Dan Anda bisa menambahkan Apple Pencil untuk menulis catatan, menggambar, serta menandai dokumen, dan Magic Keyboard untuk pengalaman mengetik yang responsif dan trackpad.;IDR;3
18;13-inch iPad Air M2;Kini tersedia dalam model 13 inci, iPad Air bertenaga super berkat chip Apple M2 yang luar biasa cepat. Dilengkapi layar Liquid Retina yang mengagumkan, kamera lanskap baru yang sempurna untuk FaceTime dan panggilan video, serta Wi-Fi 6E dan 5G super cepat. Dan juga berfungsi dengan Apple Pencil Pro baru dan Magic Keyboard, sehingga Anda bisa multitasking, belajar, bekerja, bermain, dan berkarya dari mana saja.;IDR;3
19;11-inch iPad Air M2;Kini tersedia dalam model 13 inci, iPad Air bertenaga super berkat chip Apple M2 yang luar biasa cepat. Dilengkapi layar Liquid Retina yang mengagumkan, kamera lanskap baru yang sempurna untuk FaceTime dan panggilan video, serta Wi-Fi 6E dan 5G super cepat. Dan juga berfungsi dengan Apple Pencil Pro baru dan Magic Keyboard, sehingga Anda bisa multitasking, belajar, bekerja, bermain, dan berkarya dari mana saja.;IDR;3
20;2022 10.9 inch iPad Air M1;iPad Air dengan layar Liquid Retina 10,9 inci yang menghanyutkan. Terobosan chip Apple M1 menghadirkan performa yang lebih cepat, membuat iPad Air begitu bertenaga untuk berkreasi dan bermain game. Dilengkapi Touch ID, kamera canggih, nirkabel secepat kilat, USB-C, dan dukungan untuk Magic Keyboard dan Apple Pencil (generasi ke-2).;IDR;3
21;2022 10.9-inch iPad;Didesain ulang dengan penuh warna dan lebih serbaguna. Dengan desain layar sepenuhnya, layar Liquid Retina 10,9 inci dan empat warna menawan. iPad menghadirkan cara yang andal untuk berkreasi, tetap terhubung, dan menyelesaikan berbagai hal.;IDR;3
22;2021 10.2-inch iPad;Begitu bertenaga. Mudah digunakan. Serbaguna. iPad baru memiliki layar Retina 10,2 inci yang indah, chip A13 Bionic andal, kamera depan Ultra Wide dengan Center Stage, dan berfungsi dengan Apple Pencil dan Smart Keyboard. iPad memungkinkan Anda melakukan lebih banyak hal dengan mudah. Semuanya dengan harga luar biasa hemat.;IDR;3
23;iPad mini A17 Pro;iPad mini luar biasa portabel dan bertenaga, dengan chip A17 Pro yang sangat cepat, serta layar Liquid Retina 8,3 inci. Dan dapat digunakan dengan Apple Pencil Pro, sehingga Anda dapat belajar, bekerja, bermain, dan berkarya dari mana saja.;IDR;3
24;iPhone 15 Pro;iPhone 15 Pro. Lahir dari titanium dan dilengkapi chip A17 Pro terobosan, tombol Tindakan yang dapat disesuaikan, dan sistem kamera Pro yang lebih serbaguna.;IDR;4
25;iPhone 15 Pro Max;iPhone 15 Pro Max. Lahir dari titanium dan dilengkapi chip A17 Pro terobosan, tombol Tindakan yang dapat disesuaikan, dan sistem kamera iPhone paling andal yang pernah ada.;IDR;4
26;iPhone 15;Phone 15 menghadirkan Dynamic Island, kamera Utama 48 MP, dan USB-C — semuanya dalam desain aluminium dan kaca berwarna yang tangguh.;IDR;4
27;iPhone 15 Plus;iPhone 15 Plus menghadirkan Dynamic Island, kamera Utama 48 MP, dan USB-C — semua dalam desain aluminium dan kaca berwarna yang tangguh.;IDR;4
28;iPhone 14;iPhone 14. Dengan sistem kamera ganda paling hebat di iPhone. Ambil foto yang memukau dalam pencahayaan rendah maupun terang. Deteksi Tabrakan, sebuah fitur keselamatan baru, memanggil bantuan saat Anda tak bisa.;IDR;4
29;iPhone 14 Plus;iPhone 14 Plus. Tuangkan lebih banyak kreativitas dengan layar besar 6,7 inci dan kekuatan baterai sepanjang hari. Ambil foto yang memukau dalam pencahayaan rendah maupun terang dengan sistem kamera ganda baru. Deteksi Tabrakan, sebuah fitur keselamatan baru, memanggil bantuan saat Anda tak bisa.;IDR;4
30;iPhone 13;iPhone 13. Sistem kamera ganda paling canggih yang pernah ada di iPhone. Chip A15 Bionic yang secepat kilat. Lompatan besar dalam kekuatan baterai. Desain kokoh. Dan layar Super Retina XDR yang lebih cerah.;IDR;4
31;iPhone 12;iPhone 12. Layar Super Retina XDR 6,1 inci yang begitu cerah.1 Ceramic Shield dengan ketahanan jatuh empat kali lebih baik.2 Fotografi pencahayaan rendah yang menakjubkan dengan mode Malam di semua kamera. Mampu merekam, mengedit, dan memutar video sekelas sinema dengan Dolby Vision. Chip A14 Bionic yang andal. Dan aksesori MagSafe baru untuk kemudahan pemasangan dan pengisian daya nirkabel yang lebih cepat.3 Saatnya bersenang-senang.;IDR;4
32;Apple Watch SE with Sport Band;Fitur esensial untuk membantu Anda tetap terhubung, aktif, sehat, dan aman.;IDR;5
33;Apple Watch SE with Sport Loop;Fitur esensial untuk membantu Anda tetap terhubung, aktif, sehat, dan aman.;IDR;5
34;Apple Watch Ultra 2 with Ocean Band;Apple Watch Ultra 2, jam olahraga dan bertualang paling andal kini tersedia dalam warna titanium hitam satin. Dengan kekuatan baterai beberapa hari, GPS frekuensi ganda yang presisi, dan layar Apple yang paling terang. Jam ini juga memiliki casing titanium yang kokoh, kristal depan safir, dan tombol Tindakan yang dapat disesuaikan.;IDR;5
35;Apple Watch Ultra 2 with Alpine Loop;Apple Watch Ultra 2, jam olahraga dan bertualang paling andal kini tersedia dalam warna titanium hitam satin. Dengan kekuatan baterai beberapa hari, GPS frekuensi ganda yang presisi, dan layar Apple yang paling terang. Jam ini juga memiliki casing titanium yang kokoh, kristal depan safir, dan tombol Tindakan yang dapat disesuaikan.;IDR;5
36;Apple Watch Ultra 2 with Trail Loop;Apple Watch Ultra 2, jam olahraga dan bertualang paling andal kini tersedia dalam warna titanium hitam satin. Dengan kekuatan baterai beberapa hari, GPS frekuensi ganda yang presisi, dan layar Apple yang paling terang. Jam ini juga memiliki casing titanium yang kokoh, kristal depan safir, dan tombol Tindakan yang dapat disesuaikan.;IDR;5
37;Apple Watch Ultra 2 with Milanese Loop;Apple Watch Ultra 2, jam olahraga dan bertualang paling andal kini tersedia dalam warna titanium hitam satin. Dengan kekuatan baterai beberapa hari, GPS frekuensi ganda yang presisi, dan layar Apple yang paling terang. Jam ini juga memiliki casing titanium yang kokoh, kristal depan safir, dan tombol Tindakan yang dapat disesuaikan.;IDR;5
38;Apple Watch Series 9 with Sport Loop;Apple Watch Series 9 membantu Anda tetap terhubung, aktif, sehat, dan aman. Dilengkapi gerakan ketuk dua kali, sebuah cara istimewa untuk berinteraksi dengan Apple Watch,1 dan layar yang semakin terang.;IDR;5
39;Apple Watch Series 9 With Sport Band;Apple Watch Series 9 membantu Anda tetap terhubung, aktif, sehat, dan aman. Dilengkapi gerakan ketuk dua kali, sebuah cara istimewa untuk berinteraksi dengan Apple Watch,1 dan layar yang semakin terang.;IDR;5
40;AirPods Pro (2nd generation) with USB-C;AirPods Pro dilengkapi Peredam Kebisingan Aktif hingga 2x lebih tinggi,(1) mode Transparansi, dan kini Audio Adaptif,2 yang secara otomatis menyesuaikan kontrol kebisingan untuk Anda guna memberikan pengalaman mendengarkan terbaik di berbagai lingkungan dan interaksi di sepanjang hari.;IDR;6
41;AirPods (3rd generation) with Lightning Charging Case;Memperkenalkan AirPods yang sepenuhnya baru. Dilengkapi audio spasial yang menghadirkan suara yang mengelilingi Anda, EQ Adaptif yang secara otomatis mengatur musik sesuai telinga Anda, dan kekuatan baterai lebih lama. Tahan air dan keringat serta menghadirkan pengalaman yang menakjubkan.;IDR;6
42;AirPods (3rd generation) with MagSafe Charging Case;Memperkenalkan AirPods yang sepenuhnya baru. Dilengkapi audio spasial yang menghadirkan suara yang mengelilingi Anda, EQ Adaptif yang secara otomatis mengatur musik sesuai telinga Anda, dan kekuatan baterai lebih lama. Tahan air dan keringat serta menghadirkan pengalaman yang menakjubkan.;IDR;6
43;AirPods (2nd generation) with Charging Case;Dengan waktu bicara yang optimal dan terobosan teknologi, dilengkapi Casing Pengisian Daya, AirPods menghadirkan pengalaman headphone nirkabel yang tak tertandingi. Siap digunakan dengan semua perangkat Anda. Pasang di telinga dan AirPods langsung terhubung, menghanyutkan Anda dalam suara high fidelity yang kaya. Begitu ajaib.;IDR;6
44;AirPods Max;AirPods Max merancang ulang headphone over-ear. Driver yang didesain dinamis oleh Apple menghadirkan audio high-fidelity yang menghanyutkan. Setiap detailnya, mulai dari kanopi hingga bantalan, dirancang agar tepat untuk semua. Peredam Kebisingan Aktif terdepan di industri meredam kebisingan dari luar, sedangkan mode Transparansi memungkinkan suara eksternal masuk. Dan audio spasial dengan pelacakan gerakan kepala dinamis menghadirkan suara yang mengelilingi Anda seperti di bioskop.;IDR;6
